01=0000111110011111001111100111110
02=0111110011111001100000001110000
03=0111110011111001111100111110011
04=1110001111001111100111110011110
05=0001111100111110011111001111100
06=1111100111110011111000111100110
07=1110011111001111100111110011111
08=0011111001111100111110011111001
09=1111001111100111110011111001110
10=0000000110011111001111100111110
11=0111110011111001111100111110010
12=1111001111100111110011111001111
